policy	arm_pulled	reward	regret
UCB	109484	0	0.00953153
UCB	109484	0	0.00953153
UCB	109484	0	0.00953153
UCB	109492	0	0.0132199
UCB	109473	0	0.0172018
UCB	109495	0	0.0104911
UCB	109453	0	0.00666611
UCB	109509	1	0.0157951
UCB	109509	0	0.0157951
UCB	109509	0	0.0157951
UCB	109509	0	0.0603849
UCB	109509	0	0.0344973
UCB	109509	0	0.0148986
UCB	109509	0	0.0148986
UCB	109519	0	0.0133459
UCB	109503	0	0.0128271
UCB	109484	0	0.00953153
UCB	109502	0	0.00753377
UCB	109510	0	0
UCB	109508	0	0.00259729
UCB	109512	0	0.00707958
UCB	109514	0	0.00686383
UCB	109513	0	0.00236036
UCB	109498	0	0.0114467
UCB	109506	1	0.0430702
UCB	109506	0	0.017657
UCB	109506	0	0.0126482
UCB	109506	0	0.0430702
UCB	109506	0	0.0126482
UCB	109506	0	0.0448069
UCB	109494	0	0.00779588
UCB	109511	0	0.0149766
UCB	109515	0	0.00884482
